Id,lat,lon
100002933,42.544175774112,-83.219418145353
100002937,42.542639035984,-83.220389859388
100002938,42.540655207141,-83.218408209839
100048409,42.548228550026,-83.203799474614
100058234,42.539863745933,-83.216570980482
1001096357,42.555643684489,-83.237455917167
1001096358,42.555499012841,-83.237447283807
10011348,42.548126584174,-83.233145020545
1004512016,42.556328695527,-83.237389700132
1004512017,42.55621235471,-83.237389113399
1004512018,42.554818192755,-83.236282869818
1004512019,42.554707845,-83.236287647503
10181912,42.545862799765,-83.200046477467
10272297,42.53886935885,-83.239727748204
10273557,42.540794388643,-83.237053418177
10275389,42.532972145142,-83.197718906774
10278203,42.542811577461,-83.234303902478
10305887,42.548580380412,-83.18902779519
10321780,42.537534624588,-83.19761186987
10321839,42.536940934387,-83.196216534449
10321840,42.540590959853,-83.201032105461
10321844,42.536238405172,-83.198078909515
10324536,42.542660367928,-83.241417288427
10412346,42.536980077874,-83.197320934011
10464795,42.541817609473,-83.197903476282
10464796,42.533631298008,-83.197541545703
10464799,42.535558046091,-83.191366094719
10464849,42.53401380616,-83.200650980324
10519473,42.551604948263,-83.20942582712
10522972,42.558093840516,-83.20893758126
10664238,42.535328340035,-83.198389878123
10684480,42.5530465937,-83.221489481265
10718033,42.549083210784,-83.187739245215
10763649,42.540029288521,-83.214241062856
10766976,42.537077056494,-83.212313476583
10767029,42.533334536726,-83.225320178655
10790183,42.5430843665,-83.201669297741
10999325,42.544355104931,-83.23865897173
10999329,42.555709733887,-83.233602588639
10999356,42.536902126175,-83.216404264428
10999358,42.538001412776,-83.228957170262
10999504,42.549718852411,-83.22381260955
11116825,42.546893899584,-83.198649046569
11232823,42.55283101115,-83.233276616425
11232942,42.554587732327,-83.213382420695
11246782,42.547760881739,-83.201947660745
11272112,42.55042096253,-83.215681325279
11334379,42.556878799832,-83.226434301225
1144014,42.531574504697,-83.222402521978
1144015,42.531849934036,-83.222442000742
1144016,42.531704256559,-83.223114983748
1144017,42.531554178582,-83.22309662738
1144018,42.531844150523,-83.223120767261
1144020,42.531984798858,-83.223096962656
1144021,42.53212833895,-83.222433032106
1144022,42.532274561251,-83.22245348395
1144023,42.532123058351,-83.223112720634
11446229,42.534501213829,-83.205311905223
11544515,42.557545705958,-83.229651359483
11588652,42.550959332171,-83.192729746547
11623239,42.552859761078,-83.224775606405
11625876,42.543055323205,-83.242986632159
11900572,42.553435555917,-83.209241173793
11900969,42.546405234629,-83.19962897487
11901024,42.553481363018,-83.207701250542
11911823,42.553661406298,-83.212703737995
11911824,42.554570717064,-83.213669668517
11911828,42.551972578537,-83.210161758219
11911829,42.55105467632,-83.211688857159
11911830,42.553795013835,-83.210862317686
11954820,42.543194798074,-83.219036265844
12140273,42.553818189797,-83.20061929673
12153668,42.539060591971,-83.215345127143
12153745,42.535736706357,-83.220134881893
12273126,42.535898938093,-83.193916372579
12337653,42.540981766088,-83.200855666399
12337657,42.53939570046,-83.197233762218
12669826,42.531607906582,-83.221843365217
12784374,42.544510379687,-83.234529794769
12835285,42.547964142891,-83.195006690545
12838816,42.547376571478,-83.198697074875
12844904,42.552796058614,-83.196066749839
12872580,42.550037280913,-83.237224157544
12876301,42.544765063815,-83.243904450556
12933513,42.540085321544,-83.211433963483
12935758,42.547411943109,-83.197518830745
12951607,42.540396709247,-83.211773933476
12951608,42.536634366278,-83.212930049381
13066448,42.540700511327,-83.196117208896
13075003,42.543069069527,-83.215102806322
13178383,42.538437607018,-83.232061491922
13216077,42.548788670706,-83.236709005775
13315595,42.549010246316,-83.207299589742
13497710,42.541707345537,-83.245314035213
13504591,42.55185720164,-83.231416839748
13628737,42.55028249349,-83.200007082522
13641186,42.544737152078,-83.23876374552
13683617,42.556623906156,-83.233050388858
13689121,42.538888553408,-83.223608677845
13689135,42.551649623807,-83.23916540632
13779020,42.551437603567,-83.230150334179
13878777,42.532071886832,-83.225553698477
13897420,42.552763159644,-83.23601607384
13905790,42.552873968404,-83.210456046839
13905816,42.551610145043,-83.209161964808
13921684,42.538252241229,-83.234731547178
13923056,42.547695377165,-83.207912977416
13923061,42.540000664322,-83.222142515342
13923072,42.55274966478,-83.224751047429
13951544,42.54752359006,-83.223383456107
140004969,42.537108404812,-83.206033838543
140088261,42.535127216268,-83.199901051447
140088263,42.534645424473,-83.199584047869
140088265,42.534155963237,-83.199850173294
14013102,42.541790326378,-83.243066008782
14013953,42.533065645272,-83.21631055475
14027737,42.53577455065,-83.20232291855
140508726,42.538251486858,-83.234238607452
140537317,42.53576072051,-83.244433767742
140537318,42.537733652879,-83.234453184174
140537319,42.537738179107,-83.234170211122
140537321,42.537768605416,-83.23388128692
140537322,42.53885209213,-83.23425176704
14056228,42.538638772694,-83.234797512756
14056317,42.552375161346,-83.233999136479
14056414,42.555895015856,-83.23438596131
14073482,42.543525757521,-83.227754283337
140756514,42.54514723669,-83.238288575429
140807511,42.542176522567,-83.23837591486
140964466,42.537917258468,-83.231389347106
140964467,42.537926185195,-83.231644492239
140964468,42.537913444702,-83.231915982082
140964471,42.537976350886,-83.230405227854
140993202,42.541069189339,-83.196501938252
140999781,42.547387467952,-83.198443522304
140999783,42.546911040576,-83.198467997461
140999785,42.547440273942,-83.199601482227
140999786,42.546892600389,-83.199419846385
14101112,42.55504634816,-83.214179036773
141053610,42.539193067951,-83.210283463453
141060835,42.533969675439,-83.197784453257
141060836,42.533521453167,-83.198263311385
141060837,42.534052404824,-83.19857285507
141060838,42.533899644638,-83.198711240291
141097075,42.556134235373,-83.210613207524
141097078,42.555891411638,-83.209170514349
141121073,42.543124767273,-83.22240847313
141121074,42.543438166633,-83.222498410951
141121075,42.543513268485,-83.222114184509
141121078,42.543065842494,-83.221734819571
141121079,42.542559324085,-83.222735786449
141121080,42.543715398081,-83.222925049822
141168935,42.545653336004,-83.228715603812
141168972,42.556008506825,-83.229672146602
141293578,42.534077466714,-83.221265097717
141293581,42.536094445985,-83.20483170599
141487883,42.534624721173,-83.227692173434
